operationId,tags,url
findRelationshipsByPropertyValueHistory_1,Repository Services - Enterprise,/servers/{serverName}/open-metadata/repository-services/users/{userId}/enterprise/instances/relationships/by-property-value/history
addRelationship_1,Repository Services - Enterprise,/servers/{serverName}/open-metadata/repository-services/users/{userId}/enterprise/instances/relationship
updateRelationshipProperties_1,Repository Services - Enterprise,/servers/{serverName}/open-metadata/repository-services/users/{userId}/enterprise/instances/relationship/{relationshipGUID}/properties
deleteRelationship_1,Repository Services - Enterprise,/servers/{serverName}/open-metadata/repository-services/users/{userId}/enterprise/instances/relationship/{obsoleteRelationshipGUID}/delete
getRelationship_1,Repository Services - Enterprise,/servers/{serverName}/open-metadata/repository-services/users/{userId}/enterprise/instances/relationship/{guid}/history
getRelationshipHistory_1,Repository Services - Enterprise,/servers/{serverName}/open-metadata/repository-services/users/{userId}/enterprise/instances/relationship/{guid}/history/all
purgeRelationship_1,Repository Services - Enterprise,/servers/{serverName}/open-metadata/repository-services/users/{userId}/enterprise/instances/relationship/{deletedRelationshipGUID}/purge
addExternalRelationship_1,Repository Services - Enterprise,/servers/{serverName}/open-metadata/repository-services/users/{userId}/enterprise/instances/relationship/external
addEntity_1,Repository Services - Enterprise,/servers/{serverName}/open-metadata/repository-services/users/{userId}/enterprise/instances/entity
deleteEntity_1,Repository Services - Enterprise,/servers/{serverName}/open-metadata/repository-services/users/{userId}/enterprise/instances/entity/{obsoleteEntityGUID}/delete
getEntityDetail_1,Repository Services - Enterprise,/servers/{serverName}/open-metadata/repository-services/users/{userId}/enterprise/instances/entity/{guid}/history
getEntityDetailHistory_1,Repository Services - Enterprise,/servers/{serverName}/open-metadata/repository-services/users/{userId}/enterprise/instances/entity/{guid}/history/all
getClassificationHistory_1,Repository Services - Enterprise,/servers/{serverName}/open-metadata/repository-services/users/{userId}/enterprise/instances/entity/{guid}/classification/{classificationName}/history/all
getRelationshipsForEntity_1,Repository Services - Enterprise,/servers/{serverName}/open-metadata/repository-services/users/{userId}/enterprise/instances/entity/{entityGUID}/relationships
getRelationshipsForEntityHistory_1,Repository Services - Enterprise,/servers/{serverName}/open-metadata/repository-services/users/{userId}/enterprise/instances/entity/{entityGUID}/relationships/history
updateEntityProperties_1,Repository Services - Enterprise,/servers/{serverName}/open-metadata/repository-services/users/{userId}/enterprise/instances/entity/{entityGUID}/properties
classifyEntity_4,Repository Services - Enterprise,/servers/{serverName}/open-metadata/repository-services/users/{userId}/enterprise/instances/entity/{entityGUID}/classification/{classificationName}
updateEntityClassification_2,Repository Services - Enterprise,/servers/{serverName}/open-metadata/repository-services/users/{userId}/enterprise/instances/entity/{entityGUID}/classification/{classificationName}/properties
classifyEntity_5,Repository Services - Enterprise,/servers/{serverName}/open-metadata/repository-services/users/{userId}/enterprise/instances/entity/{entityGUID}/classification/{classificationName}/detailed
declassifyEntity_2,Repository Services - Enterprise,/servers/{serverName}/open-metadata/repository-services/users/{userId}/enterprise/instances/entity/{entityGUID}/classification/{classificationName}/delete
purgeEntity_1,Repository Services - Enterprise,/servers/{serverName}/open-metadata/repository-services/users/{userId}/enterprise/instances/entity/{deletedEntityGUID}/purge
addExternalEntity_1,Repository Services - Enterprise,/servers/{serverName}/open-metadata/repository-services/users/{userId}/enterprise/instances/entity/external
classifyEntity_6,Repository Services - Enterprise,/servers/{serverName}/open-metadata/repository-services/users/{userId}/enterprise/instances/entity/classification/{classificationName}
updateEntityClassification_3,Repository Services - Enterprise,/servers/{serverName}/open-metadata/repository-services/users/{userId}/enterprise/instances/entity/classification/{classificationName}/properties
classifyEntity_7,Repository Services - Enterprise,/servers/{serverName}/open-metadata/repository-services/users/{userId}/enterprise/instances/entity/classification/{classificationName}/detailed
declassifyEntity_3,Repository Services - Enterprise,/servers/{serverName}/open-metadata/repository-services/users/{userId}/enterprise/instances/entity/classification/{classificationName}/delete
addEntityProxy_1,Repository Services - Enterprise,/servers/{serverName}/open-metadata/repository-services/users/{userId}/enterprise/instances/entity-proxy
findEntities_1,Repository Services - Enterprise,/servers/{serverName}/open-metadata/repository-services/users/{userId}/enterprise/instances/entities
findEntitiesByHistory_1,Repository Services - Enterprise,/servers/{serverName}/open-metadata/repository-services/users/{userId}/enterprise/instances/entities/history
findEntitiesByProperty_1,Repository Services - Enterprise,/servers/{serverName}/open-metadata/repository-services/users/{userId}/enterprise/instances/entities/by-property
findEntitiesByPropertyHistory_1,Repository Services - Enterprise,/servers/{serverName}/open-metadata/repository-services/users/{userId}/enterprise/instances/entities/by-property/history
findEntitiesByPropertyValue_1,Repository Services - Enterprise,/servers/{serverName}/open-metadata/repository-services/users/{userId}/enterprise/instances/entities/by-property-value
findEntitiesByPropertyValueHistory_1,Repository Services - Enterprise,/servers/{serverName}/open-metadata/repository-services/users/{userId}/enterprise/instances/entities/by-property-value/history
findEntitiesByClassification_1,Repository Services - Enterprise,/servers/{serverName}/open-metadata/repository-services/users/{userId}/enterprise/instances/entities/by-classification/{classificationName}
findEntitiesByClassificationHistory_1,Repository Services - Enterprise,/servers/{serverName}/open-metadata/repository-services/users/{userId}/enterprise/instances/entities/by-classification/{classificationName}/history
publishOpenLineageEvent,Integration Daemon Services,/servers/{serverName}/open-metadata/integration-daemon/publish-open-lineage-event
updateEndpointNetworkAddress,Integration Daemon Services,/servers/{serverName}/open-metadata/integration-daemon/integration-connectors/{connectorName}/endpoint-network-address
updateConnectorConnection,Integration Daemon Services,/servers/{serverName}/open-metadata/integration-daemon/integration-connectors/{connectorName}/connection
restartConnectors,Integration Daemon Services,/servers/{serverName}/open-metadata/integration-daemon/integration-connectors/restart
refreshConnectors,Integration Daemon Services,/servers/{serverName}/open-metadata/integration-daemon/integration-connectors/refresh
updateConfigurationProperties,Integration Daemon Services,/servers/{serverName}/open-metadata/integration-daemon/integration-connectors/configuration-properties
getRelationshipHistory_2,Metadata Access Services: Open Metadata Store Services,/servers/{serverName}/open-metadata/access-services/open-metadata-store/users/{userId}/relationships/{relationshipGUID}/history
findRelationshipsBetweenMetadataElements,Metadata Access Services: Open Metadata Store Services,/servers/{serverName}/open-metadata/access-services/open-metadata-store/users/{userId}/relationships/by-search-conditions
getRelationshipByGUID_2,Metadata Access Services: Open Metadata Store Services,/servers/{serverName}/open-metadata/access-services/open-metadata-store/users/{userId}/relationships/by-guid/{relationshipGUID}
getRelationshipByGUID,Metadata Access Services: Open Metadata Store Services,/servers/{serverName}/open-metadata/access-services/open-metadata-store/users/{userId}/relationships/by-guid/{relationshipGUID}
createRelatedElementsInStore,Metadata Access Services: Open Metadata Store Services,/servers/{serverName}/open-metadata/access-services/open-metadata-store/users/{userId}/related-elements
updateRelatedElementsInStore,Metadata Access Services: Open Metadata Store Services,/servers/{serverName}/open-metadata/access-services/open-metadata-store/users/{userId}/related-elements/{relationshipGUID}/update-properties
updateRelatedElementsEffectivityInStore,Metadata Access Services: Open Metadata Store Services,/servers/{serverName}/open-metadata/access-services/open-metadata-store/users/{userId}/related-elements/{relationshipGUID}/update-effectivity
deleteRelationshipInStore,Metadata Access Services: Open Metadata Store Services,/servers/{serverName}/open-metadata/access-services/open-metadata-store/users/{userId}/related-elements/{relationshipGUID}/delete
getRelatedMetadataElements,Metadata Access Services: Open Metadata Store Services,/servers/{serverName}/open-metadata/access-services/open-metadata-store/users/{userId}/related-elements/{elementGUID}/type/{relationshipTypeName}
getAllRelatedMetadataElements,Metadata Access Services: Open Metadata Store Services,/servers/{serverName}/open-metadata/access-services/open-metadata-store/users/{userId}/related-elements/{elementGUID}/any-type
setTranslation,Metadata Access Services: Open Metadata Store Services,/servers/{serverName}/open-metadata/access-services/open-metadata-store/users/{userId}/multi-language/set-translation/{elementGUID}
